TransactionDate,Description,DebitAmount,CreditAmount,Balance
2023-01-03,POS PURCHASE,16186.45,,33813.55
2023-01-03,NEFT TRANSFER,,46515.05,80328.60
2023-01-05,IMPS TRANSFER,17372.47,,62956.13
2023-01-07,IMPS TRANSFER,2304.14,,60651.99
2023-01-09,NEFT TRANSFER,,27643.96,88295.95
2023-01-10,NEFT TRANSFER,,1812.23,90108.18
2023-01-12,REFUND,,26607.66,116715.84
2023-01-14,CASH DEPOSIT,,36319.52,153035.36
2023-01-15,POS PURCHASE,19211.34,,133824.02
2023-01-16,SALARY,,24912.65,158736.67
2023-01-18,SALARY,,2039.59,160776.26
2023-01-20,IMPS TRANSFER,3692.93,,157083.33
2023-01-20,ATM WITHDRAWAL,17961.04,,139122.29
2023-01-20,IMPS TRANSFER,11824.65,,127297.64
2023-01-22,NEFT TRANSFER,,14226.05,141523.69
2023-01-24,EMI DEBIT,8941.33,,132582.36
2023-01-25,POS PURCHASE,5807.99,,126774.37
2023-01-26,INWARD REMITTANCE,,29244.00,156018.37
2023-01-26,IMPS TRANSFER,15004.09,,141014.28
2023-01-27,IMPS TRANSFER,6402.36,,134611.92
2023-01-28,ATM WITHDRAWAL,10449.33,,124162.59
2023-01-29,REFUND,,30985.99,155148.58
2023-01-29,EMI DEBIT,4937.01,,150211.57
2023-01-30,REFUND,,5691.74,155903.31
2023-01-30,CASH DEPOSIT,,2924.78,158828.09
2023-01-31,EMI DEBIT,17577.16,,141250.93
2023-02-01,CASH DEPOSIT,,9437.45,150688.38
2023-02-03,POS PURCHASE,10142.38,,140546.00
2023-02-04,REFUND,,11421.30,151967.30
2023-02-04,EMI DEBIT,5734.17,,146233.13
2023-02-05,IMPS TRANSFER,2791.61,,143441.52
2023-02-06,NEFT TRANSFER,,14886.39,158327.91
2023-02-08,ATM WITHDRAWAL,12935.44,,145392.47
2023-02-10,UTILITY BILL,2320.88,,143071.59
2023-02-12,REFUND,,5777.41,148849.00
2023-02-14,NEFT TRANSFER,,7035.12,155884.12
2023-02-14,REFUND,,45794.33,201678.45
2023-02-16,POS PURCHASE,11442.52,,190235.93
2023-02-18,POS PURCHASE,17818.70,,172417.23
2023-02-18,INWARD REMITTANCE,,36209.64,208626.87
2023-02-18,UTILITY BILL,13027.46,,195599.41
2023-02-20,IMPS TRANSFER,1568.64,,194030.77
2023-02-22,CASH DEPOSIT,,39215.49,233246.26
2023-02-24,CASH DEPOSIT,,37393.57,270639.83
2023-02-25,NEFT TRANSFER,,32684.03,303323.86
2023-02-26,POS PURCHASE,473.23,,302850.63
2023-02-27,UTILITY BILL,14032.51,,288818.12
2023-03-01,POS PURCHASE,9005.27,,279812.85
2023-03-01,ATM WITHDRAWAL,12673.57,,267139.28
2023-03-03,POS PURCHASE,17965.69,,249173.59
2023-03-05,IMPS TRANSFER,6746.58,,242427.01
2023-03-05,NEFT TRANSFER,,4696.69,247123.70
2023-03-07,ATM WITHDRAWAL,8084.38,,239039.32
2023-03-07,SALARY,,38133.11,277172.43
2023-03-07,SALARY,,7330.56,284502.99
2023-03-09,REFUND,,5904.25,290407.24
2023-03-10,ATM WITHDRAWAL,16568.76,,273838.48
2023-03-11,SALARY,,37419.97,311258.45
2023-03-12,IMPS TRANSFER,11587.40,,299671.05
2023-03-13,POS PURCHASE,12606.87,,287064.18
2023-03-15,CASH DEPOSIT,,21029.78,308093.96
2023-03-15,EMI DEBIT,13555.38,,294538.58
2023-03-15,CASH DEPOSIT,,7066.51,301605.09
2023-03-15,ATM WITHDRAWAL,229.21,,301375.88
2023-03-15,ATM WITHDRAWAL,7910.06,,293465.82
2023-03-17,IMPS TRANSFER,19740.28,,273725.54
2023-03-18,ATM WITHDRAWAL,19877.20,,253848.34
2023-03-18,REFUND,,32933.19,286781.53
2023-03-19,SALARY,,46257.34,333038.87
2023-03-20,ATM WITHDRAWAL,12087.61,,320951.26
2023-03-20,EMI DEBIT,16801.08,,304150.18
2023-03-21,SALARY,,14791.60,318941.78
2023-03-23,IMPS TRANSFER,10391.42,,308550.36
2023-03-24,EMI DEBIT,540.79,,308009.57
2023-03-25,IMPS TRANSFER,2658.82,,305350.75
2023-03-27,NEFT TRANSFER,,43601.77,348952.52
2023-03-27,NEFT TRANSFER,,38280.28,387232.80
2023-03-28,ATM WITHDRAWAL,1307.44,,385925.36
2023-03-28,SALARY,,7865.65,393791.01
2023-03-28,IMPS TRANSFER,3251.23,,390539.78
2023-03-28,SALARY,,48217.09,438756.87
2023-03-30,CASH DEPOSIT,,40443.33,479200.20
2023-03-30,IMPS TRANSFER,15280.88,,463919.32
2023-03-31,INWARD REMITTANCE,,24280.54,488199.86
2023-03-31,EMI DEBIT,4971.09,,483228.77
2023-04-01,UTILITY BILL,15350.53,,467878.24
2023-04-01,EMI DEBIT,11430.82,,456447.42
2023-04-02,SALARY,,37595.51,494042.93
2023-04-03,INWARD REMITTANCE,,14691.64,508734.57
2023-04-05,ATM WITHDRAWAL,10253.14,,498481.43
2023-04-07,ATM WITHDRAWAL,10545.52,,487935.91
2023-04-07,REFUND,,32846.49,520782.40
2023-04-07,IMPS TRANSFER,322.45,,520459.95
2023-04-09,IMPS TRANSFER,17391.38,,503068.57
2023-04-11,ATM WITHDRAWAL,5505.01,,497563.56
2023-04-13,ATM WITHDRAWAL,1283.62,,496279.94
2023-04-13,POS PURCHASE,3278.45,,493001.49
2023-04-14,CASH DEPOSIT,,33946.80,526948.29
2023-04-16,NEFT TRANSFER,,41525.64,568473.93
2023-04-17,SALARY,,40464.41,608938.34
2023-04-18,EMI DEBIT,11833.60,,597104.74
2023-04-19,NEFT TRANSFER,,40526.45,637631.19
2023-04-20,IMPS TRANSFER,19676.97,,617954.22
2023-04-22,CASH DEPOSIT,,8664.96,626619.18
2023-04-22,IMPS TRANSFER,5644.04,,620975.14
2023-04-23,IMPS TRANSFER,2452.65,,618522.49
2023-04-24,CASH DEPOSIT,,47313.88,665836.37
2023-04-24,NEFT TRANSFER,,39633.90,705470.27
2023-04-26,NEFT TRANSFER,,49129.84,754600.11
2023-04-27,SALARY,,37140.43,791740.54
2023-04-28,POS PURCHASE,12156.40,,779584.14
2023-04-30,CASH DEPOSIT,,41254.37,820838.51
2023-05-02,CASH DEPOSIT,,5370.69,826209.20
2023-05-03,INWARD REMITTANCE,,44103.15,870312.35
2023-05-04,ATM WITHDRAWAL,19607.64,,850704.71
2023-05-06,UTILITY BILL,17242.03,,833462.68
2023-05-08,NEFT TRANSFER,,33203.45,866666.13
2023-05-08,EMI DEBIT,15626.66,,851039.47
